20220102 170700;1.263270;1.263270;1.263270;1.263270;0
20220102 170800;1.263260;1.263290;1.263240;1.263260;0
20220102 170900;1.263260;1.263260;1.263260;1.263260;0
20220102 171000;1.262520;1.262770;1.262520;1.262770;0
20220102 171100;1.262520;1.262520;1.262520;1.262520;0
20220102 171200;1.262770;1.262770;1.262760;1.262760;0
20220102 171300;1.262520;1.262760;1.262520;1.262760;0
20220102 171400;1.262520;1.262520;1.262520;1.262520;0
20220102 171500;1.262900;1.263150;1.262510;1.263150;0
20220102 171600;1.262520;1.262520;1.262520;1.262520;0
20220102 171700;1.263250;1.263260;1.262520;1.262520;0
20220102 171800;1.263020;1.263020;1.263020;1.263020;0
20220102 172000;1.262840;1.262840;1.262820;1.262820;0
20220102 172200;1.263260;1.263260;1.263260;1.263260;0
20220102 172300;1.262810;1.263010;1.262810;1.263010;0
20220102 172700;1.263260;1.263260;1.263220;1.263220;0
20220102 172800;1.262430;1.262430;1.262430;1.262430;0
20220102 172900;1.262470;1.262610;1.262470;1.262610;0
20220102 173000;1.262620;1.263290;1.262620;1.262870;0
20220102 173100;1.263060;1.263070;1.262840;1.263070;0
20220102 173200;1.262860;1.263070;1.262860;1.263060;0
20220102 173300;1.262910;1.263060;1.262910;1.262910;0
20220102 173400;1.263050;1.263050;1.262930;1.262930;0
20220102 173500;1.263040;1.263070;1.262970;1.262970;0
20220102 173600;1.262950;1.262950;1.262950;1.262950;0
20220102 173700;1.262940;1.262960;1.262940;1.262940;0
20220102 173800;1.262950;1.263060;1.262940;1.262940;0
20220102 173900;1.263260;1.263260;1.262950;1.262950;0
20220102 174000;1.262940;1.262950;1.262940;1.262950;0
20220102 174100;1.262940;1.262950;1.262940;1.262940;0
20220102 174200;1.262940;1.262950;1.262940;1.262950;0
20220102 174300;1.262960;1.262960;1.262960;1.262960;0
20220102 174400;1.263290;1.263300;1.262960;1.263290;0
20220102 174500;1.263310;1.263310;1.262950;1.262970;0
20220102 174700;1.262960;1.262960;1.262960;1.262960;0
20220102 174800;1.262970;1.262970;1.262970;1.262970;0
20220102 174900;1.262960;1.263280;1.262960;1.262960;0
20220102 175400;1.263280;1.263280;1.262960;1.262960;0
20220102 175500;1.262970;1.262970;1.262970;1.262970;0
20220102 175600;1.262960;1.262960;1.262960;1.262960;0
20220102 175700;1.262960;1.262960;1.262960;1.262960;0
20220102 175900;1.262970;1.263190;1.262960;1.263160;0
20220102 180000;1.263040;1.263650;1.263030;1.263500;0
20220102 180100;1.263490;1.263490;1.262910;1.262990;0
20220102 180200;1.262920;1.263230;1.262870;1.263200;0
20220102 180300;1.263190;1.263200;1.262980;1.263180;0
20220102 180400;1.263200;1.263520;1.263200;1.263520;0
20220102 180500;1.263470;1.263840;1.263420;1.263840;0
20220102 180600;1.263830;1.263880;1.263580;1.263590;0
20220102 180700;1.263580;1.263580;1.263400;1.263410;0
20220102 180800;1.263430;1.263430;1.263260;1.263330;0
20220102 180900;1.263360;1.263390;1.263250;1.263250;0
20220102 181000;1.263260;1.263470;1.263260;1.263470;0
20220102 181100;1.263490;1.263490;1.263430;1.263430;0
20220102 181200;1.263440;1.263440;1.263430;1.263430;0
20220102 181300;1.263460;1.263620;1.263460;1.263480;0
20220102 181400;1.263440;1.263580;1.263440;1.263580;0
20220102 181500;1.263600;1.263630;1.263390;1.263390;0
20220102 181600;1.263390;1.263520;1.263390;1.263460;0
20220102 181700;1.263470;1.263470;1.263390;1.263400;0
20220102 181800;1.263400;1.263470;1.263400;1.263470;0
20220102 181900;1.263440;1.263470;1.263390;1.263460;0
20220102 182000;1.263500;1.263530;1.263350;1.263390;0
20220102 182100;1.263400;1.263400;1.263330;1.263360;0
20220102 182200;1.263360;1.263370;1.263270;1.263350;0
20220102 182300;1.263360;1.263410;1.263350;1.263410;0
20220102 182400;1.263400;1.263470;1.263390;1.263470;0
20220102 182500;1.263440;1.263480;1.263380;1.263480;0
20220102 182600;1.263460;1.263460;1.263380;1.263390;0
20220102 182700;1.263380;1.263380;1.263270;1.263270;0
20220102 182800;1.263280;1.263370;1.263270;1.263270;0
20220102 182900;1.263260;1.263290;1.263260;1.263290;0
20220102 183000;1.263300;1.263470;1.263270;1.263460;0
20220102 183100;1.263460;1.263550;1.263460;1.263540;0
